Geo_code,Geo_name,Indicator_wall_insulation,Indicator_wall_insulation_deciles,Indicator_roof_insulation,Indicator_roof_insulation_deciles,Indicator_floor_insulation,Indicator_floor_insulation_deciles,Indicator_property_type,Indicator_property_type_deciles,Indicator_property_age,Indicator_property_age_deciles,Indicator_age_population,Indicator_age_population_deciles,Indicator_health_conditions,Indicator_health_conditions_deciles,Indicator_fuel_poverty,Indicator_fuel_poverty_deciles,Country,Country_denominator,Geo_type,Combined,Combined_deciles,Insulation_supply,Insulation_supply_deciles
E14001593,Wokingham,29,1,86,2,134,3,280,6,18,1,251,5,100,2,2,1,England,543,Westminster Constituency,19,1,307,5
E14001594,Wolverhampton North East,243,5,290,6,342,7,231,5,288,6,193,4,294,6,523,10,England,543,Westminster Constituency,339,7,191,7
E14001595,Wolverhampton South East,222,5,250,5,251,5,235,5,292,6,113,3,260,5,531,10,England,543,Westminster Constituency,319,6,210,7
E14001596,Wolverhampton West,445,9,452,9,417,8,159,3,425,8,228,5,175,4,525,10,England,543,Westminster Constituency,443,9,193,7
E14001597,Worcester,277,6,215,4,288,6,190,4,188,4,230,5,227,5,431,8,England,543,Westminster Constituency,172,4,498,1
E14001598,Worsley and Eccles,171,4,351,7,328,7,249,5,363,7,196,4,314,6,260,5,England,543,Westminster Constituency,176,4,116,8
E14001599,Worthing West,359,7,288,6,120,3,102,2,351,7,503,10,458,9,166,4,England,543,Westminster Constituency,358,7,439,2
E14001600,Wycombe,212,4,279,6,147,3,123,3,124,3,107,2,112,3,100,2,England,543,Westminster Constituency,40,1,259,6
E14001601,Wyre Forest,328,7,335,7,414,8,318,6,237,5,475,9,498,10,475,9,England,543,Westminster Constituency,481,9,197,7
E14001602,Wythenshawe and Sale East,109,2,214,4,367,7,169,4,317,6,127,3,430,8,261,5,England,543,Westminster Constituency,169,4,220,6
E14001603,Yeovil,96,2,79,2,318,6,349,7,165,3,454,9,419,8,282,6,England,543,Westminster Constituency,269,5,529,1
E14001604,York Central,356,7,268,5,231,5,147,3,442,9,97,2,192,4,446,9,England,543,Westminster Constituency,215,4,531,1
E14001605,York Outer,31,1,87,2,524,10,495,10,61,2,480,9,307,6,169,4,England,543,Westminster Constituency,362,7,506,1
W07000081,Aberafan Maesteg,21,7,15,5,30,10,16,5,27,9,24,8,15,5,26,8,Wales,32,Westminster Constituency,25,8,11,7
W07000082,Alyn and Deeside,3,1,3,1,20,6,30,10,5,2,22,7,26,8,10,3,Wales,32,Westminster Constituency,18,6,1,10
W07000083,Bangor Aberconwy,27,9,28,9,12,4,8,2,28,9,23,7,4,1,7,2,Wales,32,Westminster Constituency,20,6,25,2
W07000084,Blaenau Gwent and Rhymney,31,10,30,10,31,10,20,6,30,10,26,8,30,10,32,10,Wales,32,Westminster Constituency,31,10,17,5
W07000085,"Brecon, Radnor and Cwm Tawe",20,6,12,4,22,7,22,7,22,7,32,10,8,2,11,3,Wales,32,Westminster Constituency,27,9,3,10
W07000086,Bridgend,2,1,10,3,5,2,15,5,1,1,18,6,12,4,4,2,Wales,32,Westminster Constituency,2,1,13,6
W07000087,Caerfyrddin,25,8,11,3,17,5,29,9,24,8,17,5,9,3,9,3,Wales,32,Westminster Constituency,16,5,21,4
W07000088,Caerphilly,17,5,27,9,26,8,24,8,10,3,8,2,21,7,25,8,Wales,32,Westminster Constituency,22,7,10,7
W07000089,Cardiff East,23,7,26,8,4,1,2,1,18,6,5,2,20,6,27,9,Wales,32,Westminster Constituency,17,5,20,4
W07000090,Cardiff North,6,2,9,3,9,3,7,2,2,1,27,9,11,3,1,1,Wales,32,Westminster Constituency,5,2,7,8
W07000091,Cardiff South and Penarth,16,5,5,2,1,1,1,1,4,1,3,1,24,8,22,7,Wales,32,Westminster Constituency,6,2,15,6
W07000092,Cardiff West,15,5,17,5,3,1,4,1,15,5,16,5,29,9,23,8,Wales,32,Westminster Constituency,19,6,16,5
W07000093,Ceredigion Preseli,24,8,13,4,16,5,18,6,26,8,20,6,2,1,7,2,Wales,32,Westminster Constituency,9,3,31,1
W07000094,Clwyd East,11,3,24,8,28,9,31,10,14,4,28,9,10,3,4,1,Wales,32,Westminster Constituency,24,8,4,9
W07000095,Clwyd North,19,6,22,7,14,4,6,2,17,5,10,3,25,8,17,6,Wales,32,Westminster Constituency,14,4,26,2
W07000096,Dwyfor Meirionnydd,30,10,31,10,29,9,21,7,31,10,14,4,1,1,15,5,Wales,32,Westminster Constituency,28,9,28,2
W07000097,Gower,12,4,21,7,21,7,19,6,6,2,29,9,3,1,3,1,Wales,32,Westminster Constituency,12,4,23,3
W07000098,Llanelli,22,7,20,6,13,4,32,10,21,7,15,5,23,7,23,7,Wales,32,Westminster Constituency,26,8,22,3
W07000099,Merthyr Tydfil and Aberdare,29,9,23,7,27,9,26,8,29,9,4,1,32,10,28,9,Wales,32,Westminster Constituency,30,10,5,9
W07000100,Mid and South Pembrokeshire,14,4,4,1,7,2,13,4,11,3,21,7,16,5,12,4,Wales,32,Westminster Constituency,7,2,31,1
W07000101,Monmouthshire,4,1,2,1,10,3,17,5,3,1,11,3,5,2,2,1,Wales,32,Westminster Constituency,1,1,2,10
W07000102,Montgomeryshire and Glyndwr,7,2,7,2,25,8,25,8,12,4,13,4,22,7,12,4,Wales,32,Westminster Constituency,10,3,30,1
W07000103,Neath and Swansea East,10,3,6,2,15,5,10,3,19,6,2,1,7,2,21,7,Wales,32,Westminster Constituency,4,1,19,4
W07000104,Newport East,18,6,18,6,2,1,5,2,16,5,1,1,19,6,30,10,Wales,32,Westminster Constituency,15,5,8,8
W07000105,Newport West and Islwyn,9,3,14,4,11,3,14,4,8,2,30,10,17,5,20,6,Wales,32,Westminster Constituency,21,7,18,5
W07000106,Pontypridd,28,9,25,8,23,7,23,7,23,7,31,10,31,10,17,5,Wales,32,Westminster Constituency,29,9,14,6
